1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
8.5,8.5,8.0,8.0,8.0,900.0,0.0,1.0
8.0,8.0,8.0,8.0,8.0,0.0,0.0,1.0
8.0,8.0,8.0,8.0,8.0,0.0,0.0,1.0
8.0,8.0,8.0,8.0,8.0,0.0,0.0,1.0
8.0,8.0,8.0,8.0,8.0,0.0,0.0,1.0
8.0,8.0,8.0,8.0,8.0,0.0,0.0,1.0
8.0,8.0,8.0,8.0,8.0,0.0,0.0,1.0
8.0,8.0,8.0,8.0,8.0,0.0,0.0,1.0
8.188,8.438,8.125,8.125,8.125,1700.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.5,8.5,8.125,8.125,8.125,2000.0,0.0,1.0
8.5,8.5,8.125,8.125,8.125,2000.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
8.125,8.125,8.125,8.125,8.125,0.0,0.0,1.0
