1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
30.6667,30.6667,30.6667,30.6667,30.6667,0.0,0.0,1.0
31.0,31.0,30.6667,30.6667,30.6667,120.0,0.0,1.0
29.8333,29.8333,29.8333,29.8333,29.8333,0.0,0.0,1.0
29.8333,30.1667,29.8333,30.1667,30.1667,120.0,0.0,1.0
29.6667,29.6667,28.8333,28.8333,28.8333,216.0,0.0,1.0
29.0,31.9333,29.0,31.9333,31.9333,33.0,0.0,1.0
33.0,33.0,32.9333,32.9333,32.9333,300.0,0.0,1.0
31.6667,33.5,31.0,31.5,31.5,1800.0,0.0,1.0
31.5,31.5,31.5,31.5,31.5,0.0,0.0,1.0
32.0,32.0,31.5,31.7667,31.7667,300.0,0.0,1.0
32.1667,32.1667,31.8333,31.8333,31.8333,195.0,0.0,1.0
32.0,32.0,32.0,32.0,32.0,0.0,0.0,1.0
32.6667,32.6667,32.6667,32.6667,32.6667,0.0,0.0,1.0
32.6667,32.6667,32.6667,32.6667,32.6667,0.0,0.0,1.0
32.6667,33.0,32.6667,33.0,33.0,231.0,0.0,1.0
33.0,33.5,32.9333,33.5,33.5,210.0,0.0,1.0
33.5,33.5,33.5,33.5,33.5,0.0,0.0,1.0
33.6667,33.6667,33.5,33.5,33.5,300.0,0.0,1.0
32.6667,32.6667,32.6667,32.6667,32.6667,0.0,0.0,1.0
32.6667,32.6667,32.6667,32.6667,32.6667,0.0,0.0,1.0
32.6667,32.6667,32.6667,32.6667,32.6667,0.0,0.0,1.0
32.3333,32.3333,32.3333,32.3333,32.3333,0.0,0.0,1.0
32.3333,32.3333,32.3333,32.3333,32.3333,0.0,0.0,1.0
32.6667,32.6667,32.6667,32.6667,32.6667,0.0,0.0,1.0
32.8333,35.3333,32.8333,35.3333,35.3333,300.0,0.0,1.0
34.6667,36.3333,34.6667,36.0667,36.0667,300.0,0.0,1.0
35.6667,35.6667,35.6667,35.6667,35.6667,15.0,0.0,1.0
35.0,36.5,35.0,36.5,36.5,183.0,0.0,1.0
36.5,37.6667,36.5,37.6667,37.6667,300.0,0.0,1.0
39.0,39.2,39.0,39.2,39.2,600.0,0.0,1.0
38.6667,38.6667,37.3333,37.3333,37.3333,0.0,0.0,1.0
37.3333,37.3333,37.3333,37.3333,37.3333,0.0,0.0,1.0
36.3333,36.3333,36.3333,36.3333,36.3333,300.0,0.0,1.0
36.6667,36.6667,36.0,36.0,36.0,120.0,0.0,1.0
36.6667,36.6667,36.1667,36.1667,36.1667,264.0,0.0,1.0
33.8333,36.0,33.8333,36.0,36.0,600.0,0.0,1.0
36.1667,36.1667,35.0,35.0,35.0,60.0,0.0,1.0
34.3333,35.0,34.3333,34.5,34.5,300.0,0.0,1.0
32.1667,32.1667,33.6667,33.6667,33.6667,15.0,0.0,1.0
34.1667,34.1667,34.1667,34.1667,34.1667,150.0,0.0,1.0
34.3333,34.3333,34.3333,34.3333,34.3333,0.0,0.0,1.0
33.7667,33.3333,33.7667,33.3333,33.3333,75.0,0.0,1.0
33.3333,34.0,33.3333,34.0,34.0,273.0,0.0,1.0
34.3333,34.3333,34.3333,34.3333,34.3333,90.0,0.0,1.0
35.8333,35.8333,35.5,35.5,35.5,150.0,0.0,1.0
35.1667,35.1667,35.1667,35.1667,35.1667,0.0,0.0,1.0
34.8333,35.3333,34.8333,35.3333,35.3333,30.0,0.0,1.0
34.6667,34.6667,34.6667,34.6667,34.6667,0.0,0.0,1.0
35.6667,35.8,35.6667,35.8,35.8,75.0,0.0,1.0
36.8333,37.3333,36.8333,37.3333,37.3333,600.0,0.0,1.0
36.5,37.3333,36.5,37.3333,37.3333,66.0,0.0,1.0
36.8333,37.3333,36.8333,37.0,37.0,300.0,0.0,1.0
37.1667,37.1667,37.1667,37.1667,37.1667,42.0,0.0,1.0
35.6667,35.6667,35.6667,35.6667,35.6667,0.0,0.0,1.0
35.6667,35.6667,35.6667,35.6667,35.6667,0.0,0.0,1.0
35.3333,35.3333,35.3333,35.3333,35.3333,0.0,0.0,1.0
35.1667,35.3333,35.0,35.3333,35.3333,195.0,0.0,1.0
37.0,37.0,37.0,37.0,37.0,0.0,0.0,1.0
35.6667,35.6667,35.6667,35.6667,35.6667,0.0,0.0,1.0
35.1667,35.1667,35.0,35.0,35.0,75.0,0.0,1.0
36.3333,36.3333,36.3333,36.3333,36.3333,0.0,0.0,1.0
36.3333,36.3333,35.0667,35.0667,35.0667,30.0,0.0,1.0
35.0,35.0,35.0,35.0,35.0,0.0,0.0,1.0
35.0,35.0,35.0,35.0,35.0,0.0,0.0,1.0
34.6667,34.6667,34.6667,34.6667,34.6667,120.0,0.0,1.0
35.0,35.0,35.0,35.0,35.0,0.0,0.0,1.0
35.0,35.0,35.0,35.0,35.0,0.0,0.0,1.0
36.0,36.5,35.1667,36.3333,36.3333,297.0,0.0,1.0
35.1667,35.1667,35.1667,35.1667,35.1667,0.0,0.0,1.0
35.1667,35.1667,35.1667,35.1667,35.1667,0.0,0.0,1.0
36.6667,36.6667,36.0,36.0,36.0,270.0,0.0,1.0
35.5,35.5,35.5,35.5,35.5,0.0,0.0,1.0
36.0,36.0,36.0,36.0,36.0,0.0,0.0,1.0
36.3333,36.3333,36.0,36.0,36.0,150.0,0.0,1.0
36.3333,36.3333,36.3333,36.3333,36.3333,0.0,0.0,1.0
36.6667,36.6667,35.1667,35.1667,35.1667,57.0,0.0,1.0
35.1667,35.1667,35.1667,35.1667,35.1667,0.0,0.0,1.0
35.0,35.0,35.0,35.0,35.0,75.0,0.0,1.0
35.1667,35.1667,35.1667,35.1667,35.1667,0.0,0.0,1.0
36.0,36.0,36.0,36.0,36.0,0.0,0.0,1.0
37.3333,37.3333,37.1667,37.1667,37.1667,18.0,0.0,1.0
37.5,37.5,36.6667,36.6667,36.6667,300.0,0.0,1.0
36.6667,36.6667,36.6667,36.6667,36.6667,0.0,0.0,1.0
36.0,36.0,36.0,36.0,36.0,0.0,0.0,1.0
36.0,36.0,36.0,36.0,36.0,0.0,0.0,1.0
35.6667,35.6667,35.6667,35.6667,35.6667,0.0,0.0,1.0
37.0,37.0,37.0,37.0,37.0,0.0,0.0,1.0
37.3333,37.3333,37.3333,37.3333,37.3333,0.0,0.0,1.0
38.0,38.0,37.8333,37.8333,37.8333,150.0,0.0,1.0
37.8333,37.8333,37.8333,37.8333,37.8333,0.0,0.0,1.0
38.6667,38.6667,38.6667,38.6667,38.6667,0.0,0.0,1.0
38.6667,41.6667,38.6667,41.6667,41.6667,900.0,0.0,1.0
41.0,41.6667,41.0,41.6667,41.6667,300.0,0.0,1.0
42.0,42.6667,41.6667,41.6667,41.6667,300.0,0.0,1.0
42.0,43.0,42.0,43.0,43.0,75.0,0.0,1.0
42.3333,45.1667,42.3333,45.0,45.0,600.0,0.0,1.0
45.6667,45.6667,44.3333,44.3333,44.3333,30.0,0.0,1.0
44.1667,44.1667,44.1667,44.1667,44.1667,0.0,0.0,1.0
43.0,43.0,43.0,43.0,43.0,0.0,0.0,1.0
42.6667,43.3333,37.0,37.6667,37.6667,1800.0,0.0,1.0
39.6667,40.0,39.6667,40.0,40.0,120.0,0.0,1.0
39.0,39.0,38.0,38.0,38.0,282.0,0.0,1.0
37.5,37.5,37.0,37.0,37.0,300.0,0.0,1.0
38.0,38.0,36.6667,36.6667,36.6667,105.0,0.0,1.0
39.3333,39.3333,39.3333,39.3333,39.3333,63.0,0.0,1.0
38.3333,38.3333,38.3333,38.3333,38.3333,0.0,0.0,1.0
40.0,40.0,40.0,40.0,40.0,0.0,0.0,1.0
41.3333,41.3333,41.3333,41.3333,41.3333,0.0,0.0,1.0
41.0,41.0,41.0,41.0,41.0,0.0,0.0,1.0
40.3333,42.6333,40.3333,42.6333,42.6333,2400.0,0.0,1.0
42.6667,44.3333,42.6667,44.3333,44.3333,600.0,0.0,1.0
44.3333,44.3333,38.0,38.0,38.0,264.0,0.0,1.0
38.6667,38.6667,38.6667,38.6667,38.6667,0.0,0.0,1.0
38.1667,40.8667,38.1667,40.8667,40.8667,600.0,0.0,1.0
41.0,41.6667,41.0,41.6667,41.6667,600.0,0.0,1.0
41.1667,42.0,41.1667,42.0,42.0,90.0,0.0,1.0
43.0,43.0,43.0,43.0,43.0,0.0,0.0,1.0
44.6667,44.6667,41.6,41.6,41.6,1200.0,0.0,1.0
39.6667,39.6667,38.3333,38.3333,38.3333,75.0,0.0,1.0
38.3333,39.45,38.3333,39.3333,39.3333,600.0,0.0,1.0
38.3333,38.3333,38.3333,38.3333,38.3333,0.0,0.0,1.0
39.6667,39.6667,37.8333,37.8333,37.8333,900.0,0.0,1.0
38.3333,38.3333,38.3333,38.3333,38.3333,900.0,0.0,1.0
37.8333,38.0,37.8333,38.0,38.0,300.0,0.0,1.0
38.0,38.0,38.0,38.0,38.0,0.0,0.0,1.0
37.3333,37.3333,36.6667,36.6667,36.6667,300.0,0.0,1.0
37.0,37.0,37.0,37.0,37.0,600.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35.6667,35.6667,35.6667,35.6667,35.6667,0.0,0.0,1.0
35.3333,36.6667,35.3,35.3,35.3,1500.0,0.0,1.0
35.3333,36.8333,35.3333,36.8333,36.8333,0.0,0.0,1.0
36.6667,36.6667,36.6667,36.6667,36.6667,0.0,0.0,1.0
37.6667,38.0,37.6667,38.0,38.0,150.0,0.0,1.0
38.3333,38.3333,37.3333,37.3333,37.3333,0.0,0.0,1.0
38.3333,38.3333,37.8333,37.8333,37.8333,105.0,0.0,1.0
